19 22 26 29 32 36 39 42 46 52 56 62 74 75 80 81 82
27 31 32 33 34 35 37 49 59 64 65 66 69 79 91 92 93
13 15 18 23 25 28 33 35 38 43 57 58 70 71 72 73 74
11 14 18 21 24 28 31 34 38 41 48 51 75 85 90 91 92
6 7 10 20 26 30 36 40 42 43 44 46 49 50 56 59 69
0 3 10 13 20 30 44 45 46 47 48 63 65 66 67 73 83
11 12 13 14 30 31 32 33 34 36 37 55 58 65 68 75 78
5 7 15 17 21 22 23 25 27 35 37 45 52 53 68 78 88
12 13 26 30 31 32 33 36 46 62 63 64 92 93 94 95 96
7 13 17 23 27 33 37 40 41 43 47 63 64 65 68 78 88
12 15 22 25 35 41 42 43 45 55 58 68 78 88 94 95 96
5 6 7 10 11 12 30 38 40 48 58 62 63 64 65 68 78
8 13 14 15 18 28 32 33 38 59 63 64 65 66 67 69 79
1 2 3 24 31 34 41 44 47 54 57 67 82 83 84 85 86
34 37 40 41 42 44 47 54 57 61 64 67 71 74 81 87 88
11 12 13 36 37 38 40 50 60 70 78 80 88 92 93 94 95
6 7 19 23 29 33 37 39 43 47 57 67 70 71 72 73 77
8 18 21 22 23 24 25 28 52 54 62 64 69 72 74 79 84
14 15 16 17 18 20 21 22 54 64 66 69 74 76 79 84 86
2 12 22 32 35 36 37 42 59 69 79 83 84 85 89 90 91
1 11 18 21 28 31 34 36 41 44 46 54 56 82 83 84 85
6 7 8 25 26 39 44 49 54 59 64 69 92 93 94 95 96
2 8 12 18 22 25 32 35 45 60 61 62 63 64 93 94 95
1 2 3 4 5 20 21 48 51 52 53 54 58 68 95 96 97
4 5 6 10 12 20 22 32 37 42 47 52 57 73 74 75 76
5 10 11 12 13 15 41 43 51 53 61 63 65 73 75 83 85
14 24 26 28 31 34 36 38 41 44 48 51 54 58 81 82 83
4 14 21 22 24 44 48 52 54 58 62 64 68 72 74 78 88
3 7 13 17 23 27 42 43 44 45 46 62 72 93 94 95 96
6 11 14 16 21 24 26 31 34 36 44 52 54 62 72 90 91
4 7 14 17 24 34 36 42 44 46 52 56 62 80 81 82 83
0 1 2 3 24 25 26 40 41 66 70 71 72 73 74 76 86
5 6 7 8 34 35 36 37 38 40 50 60 64 74 84 87 88
9 12 13 14 15 19 50 51 52 55 56 57 74 75 76 77 78
19 22 23 24 25 26 29 39 41 51 54 55 56 57 61 85 86
6 7 8 22 23 24 25 44 46 47 48 54 83 84 85 86 87
5 6 7 20 22 23 24 25 27 28 30 40 50 60 95 96 97
4 5 6 7 8 28 38 48 58 61 64 65 66 71 81 86 87
11 16 17 18 21 31 41 48 58 73 74 75 76 77 92 93 94
1 11 13 23 33 40 43 50 56 57 58 60 70 75 76 77 80
4 14 21 24 31 34 41 51 53 61 63 73 92 93 94 97 98
2 12 17 18 20 22 30 34 35 36 37 38 40 50 90 91 92
0 3 10 13 15 23 25 28 31 35 38 41 45 48 51 55 61
6 16 26 29 39 41 42 43 44 60 61 62 63 64 80 81 82
5 7 15 17 25 27 35 40 45 50 53 60 63 73 83 95 96
10 11 12 13 30 39 40 46 49 50 56 59 64 66 74 76 86
14 15 16 17 20 30 40 46 48 53 56 58 63 66 73 76 86
6 7 11 21 29 31 39 49 64 65 66 67 68 82 83 84 85
14 24 29 34 39 40 44 49 50 59 60 62 63 64 66 69 76
0 1 2 3 40 41 42 43 44 46 47 48 73 75 76 77 83
7 9 17 19 21 22 23 29 35 39 45 50 51 52 55 65 75
5 15 25 53 54 55 56 68 70 71 72 73 74 78 88 92 93
4 5 6 33 40 41 43 46 53 56 63 66 73 76 92 93 94
22 23 24 28 38 41 42 43 44 48 58 61 62 65 68 75 85
4 14 17 22 24 27 30 32 37 40 42 50 52 60 62 83 84
24 25 26 27 28 49 50 51 52 57 59 67 69 77 79 96 97
3 4 5 6 21 31 41 44 45 46 47 48 90 91 92 95 96
1 2 3 4 5 25 26 42 43 44 45 57 67 77 96 97 98
9 19 21 22 23 25 26 27 29 39 40 49 50 60 70 95 96
10 14 15 16 17 20 39 41 42 43 44 45 49 59 86 87 88
1 5 6 7 11 37 47 51 52 53 54 55 57 67 71 72 73
9 13 14 15 16 17 19 21 31 41 64 65 66 85 86 87 88
